N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES
1,PUNO,CARABAYA,210302,AJOYANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
2,PUNO,CARABAYA,210305,CORANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
3,PUNO,CARABAYA,210306,CRUCERO,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
4,PUNO,CARABAYA,210301,MACUSANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
5,PUNO,CARABAYA,210310,USICAYOS,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
6,PUNO,CHUCUITO,210403,HUACULLANI,2104030002,2104030002,210403,HUACULLANI,CALLAZA,TAMBO AURICONTA
7,PUNO,CHUCUITO,210404,KELLUYO,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
8,PUNO,CHUCUITO,210405,PISACOMA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
9,PUNO,CHUCUITO,210407,ZEPITA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
10,PUNO,EL COLLAO,210502,CAPAZO,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO
11,PUNO,EL COLLAO,210505,CONDURIRI,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO
12,PUNO,EL COLLAO,210501,ILAVE,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI
13,PUNO,EL COLLAO,210504,SANTA ROSA,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI
14,PUNO,HUANCANE,210602,COJATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
15,PUNO,HUANCANE,210603,HUATASANI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
16,PUNO,HUANCANE,210604,INCHUPALLA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
17,PUNO,HUANCANE,210605,PUSI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
18,PUNO,HUANCANE,210606,ROSASPATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
19,PUNO,HUANCANE,210608,VILQUE CHICO,2106080025,2106080025,210608,VILQUE CHICO,CATAHUI,TAMBO CATAHUI
20,PUNO,LAMPA,210703,CALAPUJA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
21,PUNO,LAMPA,210701,LAMPA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
22,PUNO,LAMPA,210704,NICASIO,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
23,PUNO,LAMPA,210705,OCUVIRI,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
24,PUNO,LAMPA,210706,PALCA,2107060006,2107060006,210706,PALCA,CHULLUNQUIANI,TAMBO CHULLUNQUIANI
25,PUNO,LAMPA,210707,PARATIA,2107070002,2107070002,210707,PARATIA,QUILLISANI,TAMBO QUILLISANI
26,PUNO,LAMPA,210710,VILAVILA,2107100020,2107100020,210710,VILAVILA,CHIVAY,TAMBO PARCIALIDAD DE CHIVAY
27,PUNO,MELGAR,210802,ANTAUTA,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO
28,PUNO,MELGAR,210801,AYAVIRI,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO
29,PUNO,MELGAR,210803,CUPI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI
30,PUNO,MELGAR,210804,LLALLI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI
31,PUNO,MELGAR,210806,NUÑOA,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA
32,PUNO,MELGAR,210807,ORURILLO,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA
33,PUNO,MELGAR,210808,SANTA ROSA,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA
34,PUNO,MELGAR,210809,UMACHIRI,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA
35,PUNO,SAN ANTONIO DE PUTINA,211003,PEDRO VILCA APAZA,2110030001,2110030001,211003,PEDRO VILCA APAZA,AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI
36,PUNO,SAN ANTONIO DE PUTINA,211004,QUILCAPUNCU,2110030001,2110030001,211003,PEDRO VILCA APAZA,AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI
37,APURIMAC,ABANCAY,30103,CIRCA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA
38,APURIMAC,ABANCAY,30106,LAMBRAMA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA
39,APURIMAC,ANTABAMBA,30301,ANTABAMBA,303010016,303010016,30301,ANTABAMBA,CULLCUNCHINI,TAMBO CULLCUNCHINI
40,APURIMAC,ANTABAMBA,30304,JUAN ESPINOZA MEDRANO,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO
41,APURIMAC,ANTABAMBA,30305,OROPESA,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO
42,APURIMAC,ANTABAMBA,30307,SABAINO,303070033,303070033,30307,SABAINO,ANTILLA,TAMBO ANTILLA
43,APURIMAC,COTABAMBAS,30506,CHALLHUAHUACHO,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO
44,APURIMAC,COTABAMBAS,30504,HAQUIRA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO
45,APURIMAC,COTABAMBAS,30505,MARA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO
46,AREQUIPA,CAYLLOMA,40516,TAPAY,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA
47,AREQUIPA,CAYLLOMA,40519,YANQUE,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA
48,AREQUIPA,CAYLLOMA,40509,ICHUPAMPA,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA
49,AREQUIPA,CAYLLOMA,40510,LARI,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA
50,AREQUIPA,CAYLLOMA,40514,SAN ANTONIO DE CHUCA,405140174,405140174,40514,SAN ANTONIO DE CHUCA,CHUCA,TAMBO SAN ANTONIO DE CHUCA
51,AREQUIPA,CAYLLOMA,40515,SIBAYO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO
52,AREQUIPA,CAYLLOMA,40504,CALLALLI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO
53,AREQUIPA,CAYLLOMA,40517,TISCO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO
54,AREQUIPA,CAYLLOMA,40518,TUTI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO
55,AREQUIPA,CONDESUYOS,40603,CAYARANI,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA
56,AREQUIPA,CONDESUYOS,40607,SALAMANCA,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA
57,AYACUCHO,CANGALLO,50205,PARAS,502050030,502050030,50205,PARAS,SANTA CRUZ DE HOSPICIO,TAMBO SANTA CRUZ DE HOSPICIO
58,AYACUCHO,SUCRE,50905,HUACAÑA,509050015,509050015,50905,HUACAÑA,ALUZPAMPA,TAMBO SANTA ALUZPAMPA
59,AYACUCHO,SUCRE,50906,MORCOLLA,509050015,509050015,50905,HUACAÑA,ALUZPAMPA,TAMBO SANTA ALUZPAMPA
60,CUSCO,ANTA,80305,HUAROCONDO,803050020,803050020,80305,HUAROCONDO,HUAYLLACOCHA,TAMBO HUAYLLACOCHA
61,CUSCO,CANAS,80502,CHECCA,805020010,805020010,80502,CHECCA,ANANSAYA,TAMBO ANANSAYA
62,CUSCO,CANAS,80503,KUNTURKANKI,805030005,805030005,80503,KUNTURKANKI,PUMATHALLA,TAMBO SAUSAYA
63,CUSCO,CANAS,80504,LANGUI,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU
64,CUSCO,CANAS,80505,LAYO,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU
65,CUSCO,CANAS,80506,PAMPAMARCA,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU
66,CUSCO,CANAS,80507,QUEHUE,805070011,805070011,80507,QUEHUE,PERCCARO,TAMBO PERCCARO
67,CUSCO,CANAS,80508,TUPAC AMARU,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU
68,CUSCO,CANAS,80501,YANAOCA,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU
69,CUSCO,CANCHIS,80603,COMBAPATA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE
70,CUSCO,CANCHIS,80604,MARANGANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE
71,CUSCO,CANCHIS,80605,PITUMARCA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE
72,CUSCO,CANCHIS,80601,SICUANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE
73,CUSCO,CHUMBIVILCAS,80702,CAPACMARCA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO
74,CUSCO,CHUMBIVILCAS,80703,CHAMACA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO
75,CUSCO,CHUMBIVILCAS,80704,COLQUEMARCA,807040003,807040003,80704,COLQUEMARCA,YANQUE,TAMBO YANQUE LACCA LACCA
76,CUSCO,CHUMBIVILCAS,80705,LIVITACA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA
77,CUSCO,CHUMBIVILCAS,80706,LLUSCO,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA
78,CUSCO,CHUMBIVILCAS,80707,QUIÑOTA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA
79,CUSCO,CHUMBIVILCAS,80701,SANTO TOMAS,807010004,807010004,80701,SANTO TOMAS,MELLOTOTORA,TAMBO MELLOTOTORA COLCA
80,CUSCO,CHUMBIVILCAS,80708,VELILLE,807080008,807080008,80708,VELILLE,AYACCASI,TAMBO AYACCASI
81,CUSCO,ESPINAR,80808,ALTO PICHIGUA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI
82,CUSCO,ESPINAR,80802,CONDOROMA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI
83,CUSCO,ESPINAR,80803,COPORAQUE,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI
84,CUSCO,ESPINAR,80801,ESPINAR,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC
85,CUSCO,ESPINAR,80804,OCORURO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC
86,CUSCO,ESPINAR,80805,PALLPATA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC
87,CUSCO,ESPINAR,80806,PICHIGUA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC
88,CUSCO,ESPINAR,80807,SUYCKUTAMBO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC
89,CUSCO,QUISPICANCHI,81204,CCARHUAYO,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI
90,CUSCO,QUISPICANCHI,81209,MARCAPATA,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI
91,CUSCO,QUISPICANCHI,81212,QUIQUIJANA,812120033,812120033,81212,QUIQUIJANA,HUACAYTAQUI,TAMBO HUACCAYTAQUI
92,HUANCAVELICA,CASTROVIRREYNA,90401,CASTROVIRREYNA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA
93,HUANCAVELICA,CASTROVIRREYNA,90406,COCAS,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA
94,HUANCAVELICA,CASTROVIRREYNA,90409,MOLLEPAMPA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA
95,HUANCAVELICA,CASTROVIRREYNA,90411,SANTA ANA,904110033,904110033,90411,SANTA ANA,PUCAPAMPA,TAMBO PUCAPAMPA
96,HUANCAVELICA,HUANCAVELICA,90106,HUACHOCOLPA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA
97,HUANCAVELICA,HUANCAVELICA,90115,PILCHACA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA
98,HUANCAVELICA,HUAYTARA,90601,HUAYTARA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO
99,HUANCAVELICA,HUAYTARA,90607,PILPICHACA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO
100,HUANCAVELICA,HUAYTARA,90610,SAN ANTONIO DE CUSICANCHA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO
101,HUANUCO,DOS DE MAYO,100307,CHUQUIS,1003070075,1003070075,100307,CHUQUIS,UCRUMARCA,TAMBO UCRUMARCA
102,HUANUCO,HUAMALIES,100509,PUÑOS,1005090060,1005090060,100509,PUÑOS,SAGSHACANCHA,TAMBO SHAGSHACANCHA
103,HUANUCO,LAURICOCHA,101001,JESUS,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI
104,HUANUCO,LAURICOCHA,101007,SAN MIGUEL DE CAURI,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI
111,PASCO,PASCO,190101,CHAUPIMARCA,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI
112,PASCO,PASCO,190110,TICLACAYAN,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI
113,TACNA,TACNA,230107,PALCA,2301070045,2301070045,230107,PALCA,ALTO PERU,TAMBO ALTO PERU
