DESCRIPCION,AREA EN m2,TIPO ALMACEN,NIVEL DE ALMACEN,Latitud,Longitud,Departamento,Nivel,id
ALMACEN GENERAL DE  LA VICTORIA,1500 m2,General,0,-12.041769300000002,-77.040296,LIMA,0,0
ALMACEN GRUPO AEREO CALLAO,300 m2,General,0,-12.0101174,-77.1122754,LIMA,0,1
ALMACEN SUNAT,1200 m2,General,0,-12.0798173,-76.9668835,LIMA,0,2
HUARAZ INDEPENDENCIA HUARAZ GOBIERNO REGIONAL,100 m2,Adelantado,3,-9.4945457,-77.53735920000001,ANCASH,0,3
HUARI HUARI HUARI MUNICIPALIDAD PROVINCIAL,50 m2,Adelantado,1,-9.348726699999999,-77.1719265,ANCASH,0,4
PALLASCA CABANA CABANA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-8.3944043,-78.006695,ANCASH,0,5
SANTA NVO CHIMBOTE CHIMBOTE SUB REGIONAL PACIF,100 m2,Adelantado,2,-9.128588,-78.5298389,ANCASH,0,6
CHINCHA CHINCHA ALTA CHINCHA MUNICIPALIDAD PROVINCIAL,400 m2,Adelantado,1,-13.425529999999998,-76.13671099999998,ICA,0,7
GOBIERNO REGIONAL,200 m2,Adelantado,2,-14.075567600000001,-75.7350388,ICA,0,8
NAZCA NAZCA NAZCA MUNICIPALIDAD PROVINCIAL,150 m2,Adelantado,1,-14.8358687,-74.9327583,ICA,0,9
CHANCHAMAYO CHANCHAMAYO CHANCHAMAYO MUNICIPALIDAD PR,120 m2,Adelantado,1,-11.0724787,-75.3394744,JUNIN,0,10
HUANCAYO HUANCAYO  GOBIERNO REGIONAL,120 m2,Adelantado,2,-12.0700514,-75.20890570000002,JUNIN,0,11
SATIPO SATIPO SATIPO MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,2,-11.2536996,-74.6362209,JUNIN,0,12
HUAROCHIRI ANTIOQUIA,80 m2,Adelantado,1,-12.0792725,-76.50907889999998,LIMA,0,13
HUAROCHIRI MATUCANA,100 m2,Adelantado,1,-11.8407317,-76.37964529999998,LIMA,0,14
HUAURA HUACHO HUACHO MUNICIPALIDAD PROVINCIAL,200 m2,Adelantado,1,-11.1227218,-77.61056789999998,LIMA,0,15
LIMA LIMA LURIGANCHO CHOS MUNICIPALIDAD PROVINCIAL,300 m2,Adelantado,1,-12.0294666,-77.010205,ICA,0,16
NIETO CARUMAS MUNICIPALIDAD,105 m2,Adelantado,1,-16.8093546,-70.69546679999998,MOQUEGUA,0,17
SAMEGUA DIRECCION REGIONAL DC,400 m2,Central,2,-17.190678600000002,-70.9216886,MOQUEGUA,0,18
CERRO CHOJOTA MUNICIPALIDAD,100 m2,Adelantado,1,-16.4,-70.733333,MOQUEGUA,0,19
CERRO ICHUÃ‘A MUNICIPALIDAD,60 m2,Adelantado,1,-16.1399754,-70.5363313,MOQUEGUA,0,20
CERRO UBINAS MUNICIPALIDAD,200 m2,Adelantado,1,-16.388074800000002,-70.8551028,MOQUEGUA,0,21
SANCHES CERRO OMATE MUNICIPALIDAD,80 m2,Adelantado,1,-16.6735115,-70.97176929999998,MOQUEGUA,0,22
ALMACEN GENERAL DE  LA VICTORIA,150 m2,Adelantado,0,-12.041769300000002,-77.040296,LIMA,0,23
ALMACEN SUNAT,49 m2,Adelantado,0,-12.0798173,-76.9668835,LIMA,0,24
